project_id,project_name,treatment,site,burn_name,burn_year,ecoregion_name_l2,latitude,longitude,accuracy_horizontal,elevation,accuracy_vertical,slope,aspect,moisture,stand_density,stand_basal_area,prop_black_spruce,stand_age,stand_origin,ag_biomass_prefire,ag_c_prefire,ag_biomass_combusted,ag_c_combusted,prefire_sol,mean_residual_org_layer_depth,burn_depth,prop_sol_combusted,residual_sol_c,bg_c_prefire,bg_c_combusted,prop_sol_c_combusted,total_c_pool_prefire,prop_prefire_bg_c,total_c_combusted,prop_total_bg_c_combusted,prop_total_prefire_c_combusted,dob,precipitation,temperature,relative_humidity,wind_speed,drought_code,drought_moisture_code,fine_fuel_moisture_code,initial_spread_index,buildup_index,fire_weather_index,daily_severity_rank
BR_SK1.sf.77,SK_RTJ,burn,SK_RTJ_JJ027B,Brady,2015,Softwood Shield,56.9097,-108.9829,-9999,430.396545,-9999,0.9,10,2,1.9,33,0,55,Unknown,7968.15,3654.446,167.739,89.239,10.5,2.5,8,0.761,627.5,4133.1,3505.5,0.848,7787.5,0.531,3594.8,0.975,0.462,187.5,2.82E-05,20.21,48.32,9.24,202.16,37.14,86.52,4.15,50.9,11.55,2.0669
BR_SK1.sf.60,SK_RTJ,Control,SK_RTJ_JJ028C,unburned2,Control,Boreal Plains,57.3646,-109.173,-9999,537,-9999,0.9,260,3,1.27,35.83,0.105,29,Fire,4081.36,1836.61,-9999,-9999,-9999,5.64,-9999,-9999,-9999,1538.9,-9999,-9999,3375.5,0.456,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
BR_SK1.sf.61,SK_RTJ,Control,SK_RTJ_JJ029C,unburned2,Control,Boreal Plains,57.3619,-109.1672,-9999,514.476746,-9999,16.2,320,2,0.98,25.57,0,35,Fire,2704.95,1217.23,-9999,-9999,-9999,3,-9999,-9999,-9999,273.6,-9999,-9999,1490.8,0.184,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
BR_SK1.sf.78,SK_RTJ,burn,SK_RTJ_JJ030B,Brady,2015,Boreal Plains,56.7118,-109.0307,-9999,480.632202,-9999,1.8,210,4,2.23,11.55,0.888,34,Fire,1061.58,812.639,355.582,260.49,23.4,19.45,3.9,0.168,3061.9,3986.3,924.4,0.232,4799,0.831,1184.9,0.78,0.247,178.5,1.19E+00,25.07,47.79,8.85,182.42,32.96,85.51,3.53,45.41,9.446,1.448
BR_SK1.sf.62,SK_RTJ,Control,SK_RTJ_JJ031C,unburned2,Control,Boreal Plains,56.7235,-109.0253,-9999,467.521942,-9999,0,-9999,5,2.17,33.83,0.892,24,Fire,3809.69,1714.36,-9999,-9999,-9999,18.79,-9999,-9999,-9999,2144.6,-9999,-9999,3859,0.556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
BR_SK1.sf.79,SK_RTJ,burn,SK_RTJ_JJ032B,Brady,2015,Boreal Plains,56.7232,-109.0025,-9999,489.420532,-9999,2.7,200,2,0.9,37.03,0,34,Fire,4203.77,3248.036,896.068,1420.485,3.9,1.05,2.9,0.734,525.6,1136.5,610.9,0.538,4384.5,0.259,2031.4,0.301,0.463,184.5,1.50E-02,26.6,51.65,13.18,229.81,44.94,86.55,5.09,60.37,14.933,3.257
NWT_BCKE.sf.45,NWT_BCKE,burn,SS28-2,SS28,2015,Taiga Plains,60.8242,-114.3343,-9999,-9999,-9999,-9999,-9999,6,0.24,7.15,0.833,54,fire,2134.39,1067.195,283.176,141.588,67.2,60,7.2,0.107,22744.9,24693.1,1948.2,0.079,25760.3,0.959,2089.8,0.932,0.081,180.9,1.66E-02,24.55,39.24,3.82,256.18,34.55,89.5,4.84,51.68,13.161,2.6045
NWT_BCKE.sf.46,NWT_BCKE,burn,SS28-2,SS28,2015,Taiga Plains,60.8242,-114.3343,-9999,-9999,-9999,-9999,-9999,6,0.04,2.1,1,54,fire,515.336,257.668,70.291,35.146,-9999,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,180.9,1.66E-02,24.55,39.24,3.82,256.18,34.55,89.5,4.84,51.68,13.161,2.6045
NWT_BCKE.sf.47,NWT_BCKE,burn,SS28-2,SS28,2015,Taiga Plains,60.8242,-114.3349,-9999,-9999,-9999,-9999,-9999,6,0,0,-9999,54,fire,0,0,0,0,-9999,105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,180.9,1.66E-02,24.55,39.24,3.82,256.18,34.55,89.5,4.84,51.68,13.161,2.6045
NWT_BCKE.sf.48,NWT_BCKE,burn,SS28-2,SS28,2015,Taiga Plains,60.8246,-114.3343,-9999,-9999,-9999,-9999,-9999,6,0.96,2.79,0.333,54,fire,494.887,247.444,83.737,41.868,-9999,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,180.9,1.66E-02,24.55,39.24,3.82,256.18,34.55,89.5,4.84,51.68,13.161,2.6045
